"COUNTRY","INDEX_TYPE","TIME_PERIOD","OBS_VALUE"
"Germany","Consumer price index (CPI)","1985-M01","55.38157"
"Germany","Consumer price index (CPI)","1985-M02","55.62909"
"Germany","Consumer price index (CPI)","1985-M03","55.81472"
"Germany","Consumer price index (CPI)","1985-M04","55.8766"
"Germany","Consumer price index (CPI)","1985-M05","55.8766"
"Germany","Consumer price index (CPI)","1985-M06","55.8766"
"Germany","Consumer price index (CPI)","1985-M07","55.8766"
"Germany","Consumer price index (CPI)","1985-M08","55.69096"
"Germany","Consumer price index (CPI)","1985-M09","55.75284"
"Germany","Consumer price index (CPI)","1985-M10","55.81472"
"Germany","Consumer price index (CPI)","1985-M11","55.8766"
"Germany","Consumer price index (CPI)","1985-M12","55.93848"
"Germany","Consumer price index (CPI)","1986-M01","56.12411"
"Germany","Consumer price index (CPI)","1986-M02","56.06224"
"Germany","Consumer price index (CPI)","1986-M03","55.8766"
"Germany","Consumer price index (CPI)","1986-M04","55.8766"
"Germany","Consumer price index (CPI)","1986-M05","55.8766"
"Germany","Consumer price index (CPI)","1986-M06","55.8766"
"Germany","Consumer price index (CPI)","1986-M07","55.69096"
"Germany","Consumer price index (CPI)","1986-M08","55.50533"
"Germany","Consumer price index (CPI)","1986-M09","55.56721"
"Germany","Consumer price index (CPI)","1986-M10","55.38157"
"Germany","Consumer price index (CPI)","1986-M11","55.31969"
"Germany","Consumer price index (CPI)","1986-M12","55.38157"
"Germany","Consumer price index (CPI)","1987-M01","55.69096"
"Germany","Consumer price index (CPI)","1987-M02","55.75284"
"Germany","Consumer price index (CPI)","1987-M03","55.75284"
"Germany","Consumer price index (CPI)","1987-M04","55.8766"
"Germany","Consumer price index (CPI)","1987-M05","55.8766"
"Germany","Consumer price index (CPI)","1987-M06","55.93848"
"Germany","Consumer price index (CPI)","1987-M07","55.93848"
"Germany","Consumer price index (CPI)","1987-M08","55.8766"
"Germany","Consumer price index (CPI)","1987-M09","55.81472"
"Germany","Consumer price index (CPI)","1987-M10","55.8766"
"Germany","Consumer price index (CPI)","1987-M11","55.8766"
"Germany","Consumer price index (CPI)","1987-M12","55.93848"
"Germany","Consumer price index (CPI)","1988-M01","56.18599"
"Germany","Consumer price index (CPI)","1988-M02","56.30975"
"Germany","Consumer price index (CPI)","1988-M03","56.30975"
"Germany","Consumer price index (CPI)","1988-M04","56.43351"
"Germany","Consumer price index (CPI)","1988-M05","56.55727"
"Germany","Consumer price index (CPI)","1988-M06","56.61914"
"Germany","Consumer price index (CPI)","1988-M07","56.61914"
"Germany","Consumer price index (CPI)","1988-M08","56.55727"
"Germany","Consumer price index (CPI)","1988-M09","56.61914"
"Germany","Consumer price index (CPI)","1988-M10","56.68103"
"Germany","Consumer price index (CPI)","1988-M11","56.86666"
