"COUNTRY","INDICATOR","TIME_PERIOD","OBS_VALUE"
"Germany","Domestic currency per US Dollar","1985-M01","3.1677"
"Germany","Domestic currency per US Dollar","1985-M02","3.2921"
"Germany","Domestic currency per US Dollar","1985-M03","3.3092"
"Germany","Domestic currency per US Dollar","1985-M04","3.083"
"Germany","Domestic currency per US Dollar","1985-M05","3.1139"
"Germany","Domestic currency per US Dollar","1985-M06","3.063099999"
"Germany","Domestic currency per US Dollar","1985-M07","2.9168"
"Germany","Domestic currency per US Dollar","1985-M08","2.79"
"Germany","Domestic currency per US Dollar","1985-M09","2.8401"
"Germany","Domestic currency per US Dollar","1985-M10","2.6444"
"Germany","Domestic currency per US Dollar","1985-M11","2.592799999"
"Germany","Domestic currency per US Dollar","1985-M12","2.5145"
"Germany","Domestic currency per US Dollar","1986-M01","2.4438"
"Germany","Domestic currency per US Dollar","1986-M02","2.3314"
"Germany","Domestic currency per US Dollar","1986-M03","2.2638"
"Germany","Domestic currency per US Dollar","1986-M04","2.274499999"
"Germany","Domestic currency per US Dollar","1986-M05","2.228199999"
"Germany","Domestic currency per US Dollar","1986-M06","2.236499999"
"Germany","Domestic currency per US Dollar","1986-M07","2.1532"
"Germany","Domestic currency per US Dollar","1986-M08","2.0636"
"Germany","Domestic currency per US Dollar","1986-M09","2.0401"
"Germany","Domestic currency per US Dollar","1986-M10","2.0047"
"Germany","Domestic currency per US Dollar","1986-M11","2.0264"
"Germany","Domestic currency per US Dollar","1986-M12","1.9916"
"Germany","Domestic currency per US Dollar","1987-M01","1.8581"
"Germany","Domestic currency per US Dollar","1987-M02","1.8265"
"Germany","Domestic currency per US Dollar","1987-M03","1.8339"
"Germany","Domestic currency per US Dollar","1987-M04","1.811"
"Germany","Domestic currency per US Dollar","1987-M05","1.7863"
"Germany","Domestic currency per US Dollar","1987-M06","1.8184"
"Germany","Domestic currency per US Dollar","1987-M07","1.847"
"Germany","Domestic currency per US Dollar","1987-M08","1.8581"
"Germany","Domestic currency per US Dollar","1987-M09","1.8129"
"Germany","Domestic currency per US Dollar","1987-M10","1.8021"
"Germany","Domestic currency per US Dollar","1987-M11","1.6812"
"Germany","Domestic currency per US Dollar","1987-M12","1.6332"
"Germany","Domestic currency per US Dollar","1988-M01","1.6517"
"Germany","Domestic currency per US Dollar","1988-M02","1.6976"
"Germany","Domestic currency per US Dollar","1988-M03","1.678"
"Germany","Domestic currency per US Dollar","1988-M04","1.6733"
"Germany","Domestic currency per US Dollar","1988-M05","1.6934"
"Germany","Domestic currency per US Dollar","1988-M06","1.7557"
"Germany","Domestic currency per US Dollar","1988-M07","1.844"
