"COUNTRY","INDEX_TYPE","TIME_PERIOD","OBS_VALUE"
"United Kingdom","Consumer price index (CPI)","1985-M01","41.40639"
"United Kingdom","Consumer price index (CPI)","1985-M02","41.7242"
"United Kingdom","Consumer price index (CPI)","1985-M03","42.13282"
"United Kingdom","Consumer price index (CPI)","1985-M04","43.04085"
"United Kingdom","Consumer price index (CPI)","1985-M05","43.22246"
"United Kingdom","Consumer price index (CPI)","1985-M06","43.31326"
"United Kingdom","Consumer price index (CPI)","1985-M07","43.22246"
"United Kingdom","Consumer price index (CPI)","1985-M08","43.35867"
"United Kingdom","Consumer price index (CPI)","1985-M09","43.31326"
"United Kingdom","Consumer price index (CPI)","1985-M10","43.40406"
"United Kingdom","Consumer price index (CPI)","1985-M11","43.54027"
"United Kingdom","Consumer price index (CPI)","1985-M12","43.58567"
"United Kingdom","Consumer price index (CPI)","1986-M01","43.67648"
"United Kingdom","Consumer price index (CPI)","1986-M02","43.85808"
"United Kingdom","Consumer price index (CPI)","1986-M03","43.90348"
"United Kingdom","Consumer price index (CPI)","1986-M04","44.3575"
"United Kingdom","Consumer price index (CPI)","1986-M05","44.4029"
"United Kingdom","Consumer price index (CPI)","1986-M06","44.4029"
"United Kingdom","Consumer price index (CPI)","1986-M07","44.2667"
"United Kingdom","Consumer price index (CPI)","1986-M08","44.4029"
"United Kingdom","Consumer price index (CPI)","1986-M09","44.62991"
"United Kingdom","Consumer price index (CPI)","1986-M10","44.72071"
"United Kingdom","Consumer price index (CPI)","1986-M11","45.08393"
"United Kingdom","Consumer price index (CPI)","1986-M12","45.22013"
"United Kingdom","Consumer price index (CPI)","1987-M01","45.40174"
"United Kingdom","Consumer price index (CPI)","1987-M02","45.58335"
"United Kingdom","Consumer price index (CPI)","1987-M03","45.67415"
"United Kingdom","Consumer price index (CPI)","1987-M04","46.21898"
"United Kingdom","Consumer price index (CPI)","1987-M05","46.26437"
"United Kingdom","Consumer price index (CPI)","1987-M06","46.26437"
"United Kingdom","Consumer price index (CPI)","1987-M07","46.21898"
"United Kingdom","Consumer price index (CPI)","1987-M08","46.35518"
"United Kingdom","Consumer price index (CPI)","1987-M09","46.49138"
"United Kingdom","Consumer price index (CPI)","1987-M10","46.71839"
"United Kingdom","Consumer price index (CPI)","1987-M11","46.9454"
"United Kingdom","Consumer price index (CPI)","1987-M12","46.9"
"United Kingdom","Consumer price index (CPI)","1988-M01","46.9"
"United Kingdom","Consumer price index (CPI)","1988-M02","47"
"United Kingdom","Consumer price index (CPI)","1988-M03","47.2"
"United Kingdom","Consumer price index (CPI)","1988-M04","47.8"
"United Kingdom","Consumer price index (CPI)","1988-M05","48"
"United Kingdom","Consumer price index (CPI)","1988-M06","48.2"
"United Kingdom","Consumer price index (CPI)","1988-M07","48.2"
"United Kingdom","Consumer price index (CPI)","1988-M08","48.5"
"United Kingdom","Consumer price index (CPI)","1988-M09","48.7"
"United Kingdom","Consumer price index (CPI)","1988-M10","49"
"United Kingdom","Consumer price index (CPI)","1988-M11","49.3"
"United Kingdom","Consumer price index (CPI)","1988-M12","49.3"
"United Kingdom","Consumer price index (CPI)","1989-M01","49.5"
"United Kingdom","Consumer price index (CPI)","1989-M02","49.7"
"United Kingdom","Consumer price index (CPI)","1989-M03","50"
"United Kingdom","Consumer price index (CPI)","1989-M04","50.5"
"United Kingdom","Consumer price index (CPI)","1989-M05","50.9"
"United Kingdom","Consumer price index (CPI)","1989-M06","51"
"United Kingdom","Consumer price index (CPI)","1989-M07","51"
"United Kingdom","Consumer price index (CPI)","1989-M08","51.1"
"United Kingdom","Consumer price index (CPI)","1989-M09","51.5"
"United Kingdom","Consumer price index (CPI)","1989-M10","51.9"
"United Kingdom","Consumer price index (CPI)","1989-M11","52.1"
"United Kingdom","Consumer price index (CPI)","1989-M12","52.2"
"United Kingdom","Consumer price index (CPI)","1990-M01","52.4"
"United Kingdom","Consumer price index (CPI)","1990-M02","52.9"
"United Kingdom","Consumer price index (CPI)","1990-M03","53.1"
"United Kingdom","Consumer price index (CPI)","1990-M04","54.4"
"United Kingdom","Consumer price index (CPI)","1990-M05","55"
"United Kingdom","Consumer price index (CPI)","1990-M06","55.2"
"United Kingdom","Consumer price index (CPI)","1990-M07","55.2"
"United Kingdom","Consumer price index (CPI)","1990-M08","55.7"
"United Kingdom","Consumer price index (CPI)","1990-M09","56.2"
"United Kingdom","Consumer price index (CPI)","1990-M10","56.7"
"United Kingdom","Consumer price index (CPI)","1990-M11","56.9"
"United Kingdom","Consumer price index (CPI)","1990-M12","57"
"United Kingdom","Consumer price index (CPI)","1991-M01","57"
"United Kingdom","Consumer price index (CPI)","1991-M02","57.2"
"United Kingdom","Consumer price index (CPI)","1991-M03","57.5"
"United Kingdom","Consumer price index (CPI)","1991-M04","58.7"
"United Kingdom","Consumer price index (CPI)","1991-M05","59.2"
"United Kingdom","Consumer price index (CPI)","1991-M06","59.5"
"United Kingdom","Consumer price index (CPI)","1991-M07","59.3"
"United Kingdom","Consumer price index (CPI)","1991-M08","59.9"
"United Kingdom","Consumer price index (CPI)","1991-M09","60.1"
"United Kingdom","Consumer price index (CPI)","1991-M10","60.4"
"United Kingdom","Consumer price index (CPI)","1991-M11","60.5"
"United Kingdom","Consumer price index (CPI)","1991-M12","60.7"
"United Kingdom","Consumer price index (CPI)","1992-M01","60.5"
"United Kingdom","Consumer price index (CPI)","1992-M02","60.8"
"United Kingdom","Consumer price index (CPI)","1992-M03","61.1"
"United Kingdom","Consumer price index (CPI)","1992-M04","61.8"
"United Kingdom","Consumer price index (CPI)","1992-M05","62.2"
"United Kingdom","Consumer price index (CPI)","1992-M06","62.2"
"United Kingdom","Consumer price index (CPI)","1992-M07","62"
"United Kingdom","Consumer price index (CPI)","1992-M08","62.1"
"United Kingdom","Consumer price index (CPI)","1992-M09","62.3"
"United Kingdom","Consumer price index (CPI)","1992-M10","62.5"
"United Kingdom","Consumer price index (CPI)","1992-M11","62.5"
"United Kingdom","Consumer price index (CPI)","1992-M12","62.6"
"United Kingdom","Consumer price index (CPI)","1993-M01","62.4"
"United Kingdom","Consumer price index (CPI)","1993-M02","62.7"
"United Kingdom","Consumer price index (CPI)","1993-M03","63"
"United Kingdom","Consumer price index (CPI)","1993-M04","63.4"
"United Kingdom","Consumer price index (CPI)","1993-M05","63.6"
"United Kingdom","Consumer price index (CPI)","1993-M06","63.6"
"United Kingdom","Consumer price index (CPI)","1993-M07","63.4"
"United Kingdom","Consumer price index (CPI)","1993-M08","63.7"
"United Kingdom","Consumer price index (CPI)","1993-M09","64"
"United Kingdom","Consumer price index (CPI)","1993-M10","64"
"United Kingdom","Consumer price index (CPI)","1993-M11","63.8"
"United Kingdom","Consumer price index (CPI)","1993-M12","64"
"United Kingdom","Consumer price index (CPI)","1994-M01","64"
"United Kingdom","Consumer price index (CPI)","1994-M02","64.2"
"United Kingdom","Consumer price index (CPI)","1994-M03","64.4"
"United Kingdom","Consumer price index (CPI)","1994-M04","64.9"
"United Kingdom","Consumer price index (CPI)","1994-M05","65.1"
"United Kingdom","Consumer price index (CPI)","1994-M06","65.1"
"United Kingdom","Consumer price index (CPI)","1994-M07","64.7"
"United Kingdom","Consumer price index (CPI)","1994-M08","65.1"
"United Kingdom","Consumer price index (CPI)","1994-M09","65.2"
"United Kingdom","Consumer price index (CPI)","1994-M10","65.1"
"United Kingdom","Consumer price index (CPI)","1994-M11","65.2"
"United Kingdom","Consumer price index (CPI)","1994-M12","65.5"
"United Kingdom","Consumer price index (CPI)","1995-M01","65.5"
"United Kingdom","Consumer price index (CPI)","1995-M02","65.7"
"United Kingdom","Consumer price index (CPI)","1995-M03","66"
"United Kingdom","Consumer price index (CPI)","1995-M04","66.4"
"United Kingdom","Consumer price index (CPI)","1995-M05","66.7"
"United Kingdom","Consumer price index (CPI)","1995-M06","66.8"
"United Kingdom","Consumer price index (CPI)","1995-M07","66.6"
"United Kingdom","Consumer price index (CPI)","1995-M08","66.9"
"United Kingdom","Consumer price index (CPI)","1995-M09","67.2"
"United Kingdom","Consumer price index (CPI)","1995-M10","67.1"
"United Kingdom","Consumer price index (CPI)","1995-M11","67.1"
"United Kingdom","Consumer price index (CPI)","1995-M12","67.5"
"United Kingdom","Consumer price index (CPI)","1996-M01","67.4"
"United Kingdom","Consumer price index (CPI)","1996-M02","67.7"
"United Kingdom","Consumer price index (CPI)","1996-M03","67.9"
"United Kingdom","Consumer price index (CPI)","1996-M04","68.3"
"United Kingdom","Consumer price index (CPI)","1996-M05","68.6"
