"COUNTRY","INDICATOR","TIME_PERIOD","OBS_VALUE"
"United Kingdom","Domestic currency per US Dollar","1985-M01","0.885801"
"United Kingdom","Domestic currency per US Dollar","1985-M02","0.91266"
"United Kingdom","Domestic currency per US Dollar","1985-M03","0.894962"
"United Kingdom","Domestic currency per US Dollar","1985-M04","0.805315999"
"United Kingdom","Domestic currency per US Dollar","1985-M05","0.800777"
"United Kingdom","Domestic currency per US Dollar","1985-M06","0.780799"
"United Kingdom","Domestic currency per US Dollar","1985-M07","0.72627"
"United Kingdom","Domestic currency per US Dollar","1985-M08","0.72202"
"United Kingdom","Domestic currency per US Dollar","1985-M09","0.733788"
"United Kingdom","Domestic currency per US Dollar","1985-M10","0.702780999"
"United Kingdom","Domestic currency per US Dollar","1985-M11","0.694505999"
"United Kingdom","Domestic currency per US Dollar","1985-M12","0.691272"
"United Kingdom","Domestic currency per US Dollar","1986-M01","0.701973"
"United Kingdom","Domestic currency per US Dollar","1986-M02","0.699812"
"United Kingdom","Domestic currency per US Dollar","1986-M03","0.682016"
"United Kingdom","Domestic currency per US Dollar","1986-M04","0.668419"
"United Kingdom","Domestic currency per US Dollar","1986-M05","0.656906"
"United Kingdom","Domestic currency per US Dollar","1986-M06","0.663719"
"United Kingdom","Domestic currency per US Dollar","1986-M07","0.662699"
"United Kingdom","Domestic currency per US Dollar","1986-M08","0.672789"
"United Kingdom","Domestic currency per US Dollar","1986-M09","0.679133"
"United Kingdom","Domestic currency per US Dollar","1986-M10","0.700417"
"United Kingdom","Domestic currency per US Dollar","1986-M11","0.702389"
"United Kingdom","Domestic currency per US Dollar","1986-M12","0.696096"
"United Kingdom","Domestic currency per US Dollar","1987-M01","0.664052"
"United Kingdom","Domestic currency per US Dollar","1987-M02","0.65514"
"United Kingdom","Domestic currency per US Dollar","1987-M03","0.628116"
"United Kingdom","Domestic currency per US Dollar","1987-M04","0.613425"
"United Kingdom","Domestic currency per US Dollar","1987-M05","0.59982"
"United Kingdom","Domestic currency per US Dollar","1987-M06","0.61348"
"United Kingdom","Domestic currency per US Dollar","1987-M07","0.621163"
"United Kingdom","Domestic currency per US Dollar","1987-M08","0.626973"
"United Kingdom","Domestic currency per US Dollar","1987-M09","0.608124"
"United Kingdom","Domestic currency per US Dollar","1987-M10","0.602222"
"United Kingdom","Domestic currency per US Dollar","1987-M11","0.563414"
"United Kingdom","Domestic currency per US Dollar","1987-M12","0.547189"
"United Kingdom","Domestic currency per US Dollar","1988-M01","0.554719"
"United Kingdom","Domestic currency per US Dollar","1988-M02","0.569359"
"United Kingdom","Domestic currency per US Dollar","1988-M03","0.54646"
"United Kingdom","Domestic currency per US Dollar","1988-M04","0.533136"
"United Kingdom","Domestic currency per US Dollar","1988-M05","0.534529"
"United Kingdom","Domestic currency per US Dollar","1988-M06","0.561462"
"United Kingdom","Domestic currency per US Dollar","1988-M07","0.58647"
"United Kingdom","Domestic currency per US Dollar","1988-M08","0.589082"
"United Kingdom","Domestic currency per US Dollar","1988-M09","0.594033"
"United Kingdom","Domestic currency per US Dollar","1988-M10","0.576306"
"United Kingdom","Domestic currency per US Dollar","1988-M11","0.553232"
"United Kingdom","Domestic currency per US Dollar","1988-M12","0.547254"
"United Kingdom","Domestic currency per US Dollar","1989-M01","0.563114"
"United Kingdom","Domestic currency per US Dollar","1989-M02","0.570181"
"United Kingdom","Domestic currency per US Dollar","1989-M03","0.583088"
"United Kingdom","Domestic currency per US Dollar","1989-M04","0.588154"
"United Kingdom","Domestic currency per US Dollar","1989-M05","0.613493"
"United Kingdom","Domestic currency per US Dollar","1989-M06","0.64408"
"United Kingdom","Domestic currency per US Dollar","1989-M07","0.616559"
"United Kingdom","Domestic currency per US Dollar","1989-M08","0.626031"
"United Kingdom","Domestic currency per US Dollar","1989-M09","0.636873"
"United Kingdom","Domestic currency per US Dollar","1989-M10","0.629829"
"United Kingdom","Domestic currency per US Dollar","1989-M11","0.635778"
"United Kingdom","Domestic currency per US Dollar","1989-M12","0.626893"
"United Kingdom","Domestic currency per US Dollar","1990-M01","0.605595"
"United Kingdom","Domestic currency per US Dollar","1990-M02","0.589663"
"United Kingdom","Domestic currency per US Dollar","1990-M03","0.61546"
"United Kingdom","Domestic currency per US Dollar","1990-M04","0.611011"
"United Kingdom","Domestic currency per US Dollar","1990-M05","0.595893"
"United Kingdom","Domestic currency per US Dollar","1990-M06","0.585561"
"United Kingdom","Domestic currency per US Dollar","1990-M07","0.55355"
"United Kingdom","Domestic currency per US Dollar","1990-M08","0.526976"
"United Kingdom","Domestic currency per US Dollar","1990-M09","0.532042"
"United Kingdom","Domestic currency per US Dollar","1990-M10","0.51423"
"United Kingdom","Domestic currency per US Dollar","1990-M11","0.509196"
"United Kingdom","Domestic currency per US Dollar","1990-M12","0.518949"
"United Kingdom","Domestic currency per US Dollar","1991-M01","0.517223"
"United Kingdom","Domestic currency per US Dollar","1991-M02","0.508804"
"United Kingdom","Domestic currency per US Dollar","1991-M03","0.546677"
"United Kingdom","Domestic currency per US Dollar","1991-M04","0.571755"
"United Kingdom","Domestic currency per US Dollar","1991-M05","0.579301"
"United Kingdom","Domestic currency per US Dollar","1991-M06","0.607077"
"United Kingdom","Domestic currency per US Dollar","1991-M07","0.607024"
"United Kingdom","Domestic currency per US Dollar","1991-M08","0.594139"
"United Kingdom","Domestic currency per US Dollar","1991-M09","0.580229"
"United Kingdom","Domestic currency per US Dollar","1991-M10","0.580619"
"United Kingdom","Domestic currency per US Dollar","1991-M11","0.562644"
"United Kingdom","Domestic currency per US Dollar","1991-M12","0.548692"
"United Kingdom","Domestic currency per US Dollar","1992-M01","0.55212"
"United Kingdom","Domestic currency per US Dollar","1992-M02","0.562936"
"United Kingdom","Domestic currency per US Dollar","1992-M03","0.57991"
"United Kingdom","Domestic currency per US Dollar","1992-M04","0.569306"
"United Kingdom","Domestic currency per US Dollar","1992-M05","0.552351"
"United Kingdom","Domestic currency per US Dollar","1992-M06","0.539743"
"United Kingdom","Domestic currency per US Dollar","1992-M07","0.521128"
"United Kingdom","Domestic currency per US Dollar","1992-M08","0.515814"
"United Kingdom","Domestic currency per US Dollar","1992-M09","0.540741"
"United Kingdom","Domestic currency per US Dollar","1992-M10","0.603548"
"United Kingdom","Domestic currency per US Dollar","1992-M11","0.655092"
"United Kingdom","Domestic currency per US Dollar","1992-M12","0.644601"
"United Kingdom","Domestic currency per US Dollar","1993-M01","0.652755"
"United Kingdom","Domestic currency per US Dollar","1993-M02","0.695672"
"United Kingdom","Domestic currency per US Dollar","1993-M03","0.68489"
"United Kingdom","Domestic currency per US Dollar","1993-M04","0.64673"
"United Kingdom","Domestic currency per US Dollar","1993-M05","0.645826"
"United Kingdom","Domestic currency per US Dollar","1993-M06","0.661392"
"United Kingdom","Domestic currency per US Dollar","1993-M07","0.668092"
"United Kingdom","Domestic currency per US Dollar","1993-M08","0.670338"
"United Kingdom","Domestic currency per US Dollar","1993-M09","0.65617"
"United Kingdom","Domestic currency per US Dollar","1993-M10","0.6726307"
"United Kingdom","Domestic currency per US Dollar","1993-M11","0.675372"
"United Kingdom","Domestic currency per US Dollar","1993-M12","0.67121094"
"United Kingdom","Domestic currency per US Dollar","1994-M01","0.66994"
"United Kingdom","Domestic currency per US Dollar","1994-M02","0.67635477"
"United Kingdom","Domestic currency per US Dollar","1994-M03","0.67079729"
"United Kingdom","Domestic currency per US Dollar","1994-M04","0.67451936"
"United Kingdom","Domestic currency per US Dollar","1994-M05","0.66538465"
"United Kingdom","Domestic currency per US Dollar","1994-M06","0.6559369"
"United Kingdom","Domestic currency per US Dollar","1994-M07","0.64723063"
"United Kingdom","Domestic currency per US Dollar","1994-M08","0.64825541"
"United Kingdom","Domestic currency per US Dollar","1994-M09","0.63960594"
"United Kingdom","Domestic currency per US Dollar","1994-M10","0.62274808"
"United Kingdom","Domestic currency per US Dollar","1994-M11","0.62921345"
"United Kingdom","Domestic currency per US Dollar","1994-M12","0.64113277"
