"COUNTRY","PRODUCTION_INDEX","TIME_PERIOD","OBS_VALUE"
"United Kingdom","Industrial Production","1985-M01","68.25295285973971"
"United Kingdom","Industrial Production","1985-M02","74.92987216123599"
"United Kingdom","Industrial Production","1985-M03","78.63927177317836"
"United Kingdom","Industrial Production","1985-M04","69.458507733621"
"United Kingdom","Industrial Production","1985-M05","69.08756777242673"
"United Kingdom","Industrial Production","1985-M06","73.16790734556334"
"United Kingdom","Industrial Production","1985-M07","65.19269817988726"
"United Kingdom","Industrial Production","1985-M08","63.52346835451317"
"United Kingdom","Industrial Production","1985-M09","73.7243172873547"
"United Kingdom","Industrial Production","1985-M10","74.37346221944462"
"United Kingdom","Industrial Production","1985-M11","77.99012684108843"
"United Kingdom","Industrial Production","1985-M12","67.69654291794834"
"United Kingdom","Industrial Production","1986-M01","72.33329243287631"
"United Kingdom","Industrial Production","1986-M02","72.79696738436911"
"United Kingdom","Industrial Production","1986-M03","77.6191868798942"
"United Kingdom","Industrial Production","1986-M04","73.07517235526481"
"United Kingdom","Industrial Production","1986-M05","69.82944769481524"
"United Kingdom","Industrial Production","1986-M06","70.10765266571092"
"United Kingdom","Industrial Production","1986-M07","68.62389282093394"
"United Kingdom","Industrial Production","1986-M08","63.52346835451316"
"United Kingdom","Industrial Production","1986-M09","74.92987216123596"
"United Kingdom","Industrial Production","1986-M10","80.40123658885096"
"United Kingdom","Industrial Production","1986-M11","77.3409819089985"
"United Kingdom","Industrial Production","1986-M12","74.55893220004172"
"United Kingdom","Industrial Production","1987-M01","72.98243736496624"
"United Kingdom","Industrial Production","1987-M02","75.30081212243023"
"United Kingdom","Industrial Production","1987-M03","83.27602128810633"
"United Kingdom","Industrial Production","1987-M04","73.53884730675759"
"United Kingdom","Industrial Production","1987-M05","71.49867752018931"
"United Kingdom","Industrial Production","1987-M06","74.83713717093745"
"United Kingdom","Industrial Production","1987-M07","72.2405574425778"
"United Kingdom","Industrial Production","1987-M08","67.14013297615705"
"United Kingdom","Industrial Production","1987-M09","77.43371689929714"
"United Kingdom","Industrial Production","1987-M10","82.53414136571791"
"United Kingdom","Industrial Production","1987-M11","81.97773142392656"
"United Kingdom","Industrial Production","1987-M12","78.26833181198418"
"United Kingdom","Industrial Production","1988-M01","76.22816202541586"
"United Kingdom","Industrial Production","1988-M02","80.03029662765679"
"United Kingdom","Industrial Production","1988-M03","88.84012070601995"
"United Kingdom","Industrial Production","1988-M04","75.48628210302738"
"United Kingdom","Industrial Production","1988-M05","77.34098190899857"
"United Kingdom","Industrial Production","1988-M06","79.01021173437263"
"United Kingdom","Industrial Production","1988-M07","73.07517235526484"
"United Kingdom","Industrial Production","1988-M08","73.53884730675763"
"United Kingdom","Industrial Production","1988-M09","82.9978163172107"
"United Kingdom","Industrial Production","1988-M10","84.1106362007934"
"United Kingdom","Industrial Production","1988-M11","88.28371076422858"
"United Kingdom","Industrial Production","1988-M12","79.19568171496973"
"United Kingdom","Industrial Production","1989-M01","80.49397157914956"
"United Kingdom","Industrial Production","1989-M02","81.05038152094092"
"United Kingdom","Industrial Production","1989-M03","88.74738571572136"
"United Kingdom","Industrial Production","1989-M04","80.03029662765678"
"United Kingdom","Industrial Production","1989-M05","80.6794415597467"
"United Kingdom","Industrial Production","1989-M06","80.49397157914956"
"United Kingdom","Industrial Production","1989-M07","74.65166719034034"
"United Kingdom","Industrial Production","1989-M08","75.57901709332593"
"United Kingdom","Industrial Production","1989-M09","81.79226144332942"
"United Kingdom","Industrial Production","1989-M10","86.33627596795883"
"United Kingdom","Industrial Production","1989-M11","88.74738571572138"
"United Kingdom","Industrial Production","1989-M12","79.47388668586543"
"United Kingdom","Industrial Production","1990-M01","81.88499643362798"
"United Kingdom","Industrial Production","1990-M02","80.49397157914962"
"United Kingdom","Industrial Production","1990-M03","91.15849546348396"
"United Kingdom","Industrial Production","1990-M04","79.19568171496981"
"United Kingdom","Industrial Production","1990-M05","82.16320140452371"
"United Kingdom","Industrial Production","1990-M06","81.32858649183669"
"United Kingdom","Industrial Production","1990-M07","76.04269204481881"
"United Kingdom","Industrial Production","1990-M08","75.11534214183319"
"United Kingdom","Industrial Production","1990-M09","79.10294672467126"
"United Kingdom","Industrial Production","1990-M10","87.26362587094449"
"United Kingdom","Industrial Production","1990-M11","86.70721592915315"
"United Kingdom","Industrial Production","1990-M12","77.80465686049147"
"United Kingdom","Industrial Production","1991-M01","81.05038152094105"
"United Kingdom","Industrial Production","1991-M02","79.75209165676121"
"United Kingdom","Industrial Production","1991-M03","84.5743111522863"
"United Kingdom","Industrial Production","1991-M04","77.89739185078999"
"United Kingdom","Industrial Production","1991-M05","78.17559682168567"
"United Kingdom","Industrial Production","1991-M06","75.67175208362453"
"United Kingdom","Industrial Production","1991-M07","75.30081212243031"
"United Kingdom","Industrial Production","1991-M08","70.20038765600953"
"United Kingdom","Industrial Production","1991-M09","77.34098190899861"
"United Kingdom","Industrial Production","1991-M10","84.66704614258482"
"United Kingdom","Industrial Production","1991-M11","83.18328629780783"
"United Kingdom","Industrial Production","1991-M12","77.89739185078993"
"United Kingdom","Industrial Production","1992-M01","78.54653678287985"
"United Kingdom","Industrial Production","1992-M02","79.28841670526831"
"United Kingdom","Industrial Production","1992-M03","87.07815589034731"
"United Kingdom","Industrial Production","1992-M04","77.9901268410885"
"United Kingdom","Industrial Production","1992-M05","74.00252225825041"
"United Kingdom","Industrial Production","1992-M06","78.45380179258126"
"United Kingdom","Industrial Production","1992-M07","75.76448707392302"
"United Kingdom","Industrial Production","1992-M08","69.55124272391956"
