"COUNTRY","INDICATOR","UNIT","TIME_PERIOD","OBS_VALUE","SCALE"
"United States","Total reserves (gold at national valuation)","US dollar","1959-M12","21504.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1960-M01","21478.1","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1960-M02","21395.7","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1960-M03","21344.7","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1960-M04","21278","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1960-M05","21234.3","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1960-M06","21169.8","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1960-M07","20999.4","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1960-M08","20803.4","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1960-M09","20430","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1960-M10","20068.2","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1960-M11","19558.2","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1960-M12","19358.8","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1961-M01","19056.2","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1961-M02","18978","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1961-M03","18988.2","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1961-M04","19165.1","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1961-M05","19196.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1961-M06","19307.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1961-M07","19234.6","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1961-M08","19641.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1961-M09","19520.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1961-M10","19171.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1961-M11","18827.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1961-M12","18752.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1962-M01","18649.8","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1962-M02","18512","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1962-M03","18328.7","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1962-M04","18192.4","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1962-M05","18124.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1962-M06","18490.3","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1962-M07","17784.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1962-M08","17638.6","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1962-M09","17610.3","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1962-M10","17435.7","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1962-M11","17286.2","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1962-M12","17220.4","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1963-M01","17177.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1963-M02","17114.3","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1963-M03","17188.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1963-M04","17139.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1963-M05","17113.6","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1963-M06","17064.7","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1963-M07","16815.1","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1963-M08","16773.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1963-M09","16838","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1963-M10","16947.8","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1963-M11","16817.1","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1963-M12","16843","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1964-M01","16880.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1964-M02","16770.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1964-M03","16894","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1964-M04","16898.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1964-M05","16855.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1964-M06","16591.2","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1964-M07","16628.6","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1964-M08","16690.4","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1964-M09","16521","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1964-M10","16385.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1964-M11","17015.2","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1964-M12","16672.4","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1965-M01","16342.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1965-M02","15994.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1965-M03","15828.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1965-M04","15592.3","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1965-M05","15420","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1965-M06","15761.8","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1965-M07","15565.6","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1965-M08","15850.4","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1965-M09","15721.2","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1965-M10","15639.4","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1965-M11","15547.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1965-M12","15450","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1966-M01","15224.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1966-M02","14961.8","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1966-M03","15025.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1966-M04","14913.9","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1966-M05","14904.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1966-M06","14957.8","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1966-M07","15148.2","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1966-M08","15014.6","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1966-M09","14876","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1966-M10","14879.6","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1966-M11","14715.1","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1966-M12","14881.7","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1967-M01","14195.8","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1967-M02","13997.5","Millions"
"United States","Total reserves (gold at national valuation)","US dollar","1967-M03","13854.6","Millions"
