"COUNTRY","INDEX_TYPE","TIME_PERIOD","OBS_VALUE"
"Spain","Consumer price index (CPI)","1959-M12","2.525752"
"Spain","Consumer price index (CPI)","1960-M01","2.505928"
"Spain","Consumer price index (CPI)","1960-M02","2.503895"
"Spain","Consumer price index (CPI)","1960-M03","2.500846"
"Spain","Consumer price index (CPI)","1960-M04","2.502879"
"Spain","Consumer price index (CPI)","1960-M05","2.495255"
"Spain","Consumer price index (CPI)","1960-M06","2.493221"
"Spain","Consumer price index (CPI)","1960-M07","2.492204"
"Spain","Consumer price index (CPI)","1960-M08","2.497288"
"Spain","Consumer price index (CPI)","1960-M09","2.512536"
"Spain","Consumer price index (CPI)","1960-M10","2.519145"
"Spain","Consumer price index (CPI)","1960-M11","2.522194"
"Spain","Consumer price index (CPI)","1960-M12","2.541002"
"Spain","Consumer price index (CPI)","1961-M01","2.551676"
"Spain","Consumer price index (CPI)","1961-M02","2.530835"
"Spain","Consumer price index (CPI)","1961-M03","2.519653"
"Spain","Consumer price index (CPI)","1961-M04","2.526261"
"Spain","Consumer price index (CPI)","1961-M05","2.519653"
"Spain","Consumer price index (CPI)","1961-M06","2.505928"
"Spain","Consumer price index (CPI)","1961-M07","2.505928"
"Spain","Consumer price index (CPI)","1961-M08","2.509995"
"Spain","Consumer price index (CPI)","1961-M09","2.512028"
"Spain","Consumer price index (CPI)","1961-M10","2.521686"
"Spain","Consumer price index (CPI)","1961-M11","2.560825"
"Spain","Consumer price index (CPI)","1961-M12","2.5654"
"Spain","Consumer price index (CPI)","1962-M01","2.560825"
"Spain","Consumer price index (CPI)","1962-M02","2.572516"
"Spain","Consumer price index (CPI)","1962-M03","2.594881"
"Spain","Consumer price index (CPI)","1962-M04","2.631479"
"Spain","Consumer price index (CPI)","1962-M05","2.665027"
"Spain","Consumer price index (CPI)","1962-M06","2.678751"
"Spain","Consumer price index (CPI)","1962-M07","2.678751"
"Spain","Consumer price index (CPI)","1962-M08","2.672143"
"Spain","Consumer price index (CPI)","1962-M09","2.688409"
"Spain","Consumer price index (CPI)","1962-M10","2.714332"
"Spain","Consumer price index (CPI)","1962-M11","2.78397"
"Spain","Consumer price index (CPI)","1962-M12","2.819551"
"Spain","Consumer price index (CPI)","1963-M01","2.826159"
"Spain","Consumer price index (CPI)","1963-M02","2.848524"
"Spain","Consumer price index (CPI)","1963-M03","2.903929"
"Spain","Consumer price index (CPI)","1963-M04","2.901896"
"Spain","Consumer price index (CPI)","1963-M05","2.918161"
"Spain","Consumer price index (CPI)","1963-M06","2.864281"
