"COUNTRY","INDICATOR","TIME_PERIOD","OBS_VALUE"
"Spain","Domestic currency per US Dollar","1959-M12","60.000000059"
"Spain","Domestic currency per US Dollar","1960-M01","60.000000059"
"Spain","Domestic currency per US Dollar","1960-M02","60.000000059"
"Spain","Domestic currency per US Dollar","1960-M03","60.000000059"
"Spain","Domestic currency per US Dollar","1960-M04","60.000000059"
"Spain","Domestic currency per US Dollar","1960-M05","60.000000059"
"Spain","Domestic currency per US Dollar","1960-M06","60.000000059"
"Spain","Domestic currency per US Dollar","1960-M07","60.000000059"
"Spain","Domestic currency per US Dollar","1960-M08","60.000000059"
"Spain","Domestic currency per US Dollar","1960-M09","60.000000059"
"Spain","Domestic currency per US Dollar","1960-M10","60.000000059"
"Spain","Domestic currency per US Dollar","1960-M11","60.000000059"
"Spain","Domestic currency per US Dollar","1960-M12","60.000000059"
"Spain","Domestic currency per US Dollar","1961-M01","60.000000059"
"Spain","Domestic currency per US Dollar","1961-M02","60.000000059"
"Spain","Domestic currency per US Dollar","1961-M03","60.000000059"
"Spain","Domestic currency per US Dollar","1961-M04","60.000000059"
"Spain","Domestic currency per US Dollar","1961-M05","60.000000059"
"Spain","Domestic currency per US Dollar","1961-M06","60.000000059"
"Spain","Domestic currency per US Dollar","1961-M07","60.000000059"
"Spain","Domestic currency per US Dollar","1961-M08","60.000000059"
"Spain","Domestic currency per US Dollar","1961-M09","60.000000059"
"Spain","Domestic currency per US Dollar","1961-M10","60.000000059"
"Spain","Domestic currency per US Dollar","1961-M11","60.000000059"
"Spain","Domestic currency per US Dollar","1961-M12","60.000000059"
"Spain","Domestic currency per US Dollar","1962-M01","60.000000059"
"Spain","Domestic currency per US Dollar","1962-M02","60.000000059"
"Spain","Domestic currency per US Dollar","1962-M03","60.000000059"
"Spain","Domestic currency per US Dollar","1962-M04","60.000000059"
"Spain","Domestic currency per US Dollar","1962-M05","60.000000059"
"Spain","Domestic currency per US Dollar","1962-M06","60.000000059"
"Spain","Domestic currency per US Dollar","1962-M07","60.000000059"
"Spain","Domestic currency per US Dollar","1962-M08","60.000000059"
"Spain","Domestic currency per US Dollar","1962-M09","60.000000059"
"Spain","Domestic currency per US Dollar","1962-M10","60.000000059"
"Spain","Domestic currency per US Dollar","1962-M11","60.000000059"
"Spain","Domestic currency per US Dollar","1962-M12","60.000000059"
"Spain","Domestic currency per US Dollar","1963-M01","60.000000059"
"Spain","Domestic currency per US Dollar","1963-M02","60.000000059"
"Spain","Domestic currency per US Dollar","1963-M03","60.000000059"
"Spain","Domestic currency per US Dollar","1963-M04","60.000000059"
"Spain","Domestic currency per US Dollar","1963-M05","60.000000059"
"Spain","Domestic currency per US Dollar","1963-M06","60.000000059"
"Spain","Domestic currency per US Dollar","1963-M07","60.000000059"
"Spain","Domestic currency per US Dollar","1963-M08","60.000000059"
"Spain","Domestic currency per US Dollar","1963-M09","60.000000059"
"Spain","Domestic currency per US Dollar","1963-M10","60.000000059"
"Spain","Domestic currency per US Dollar","1963-M11","60.000000059"
"Spain","Domestic currency per US Dollar","1963-M12","60.000000059"
"Spain","Domestic currency per US Dollar","1964-M01","60.000000059"
"Spain","Domestic currency per US Dollar","1964-M02","60.000000059"
"Spain","Domestic currency per US Dollar","1964-M03","60.000000059"
"Spain","Domestic currency per US Dollar","1964-M04","60.000000059"
"Spain","Domestic currency per US Dollar","1964-M05","60.000000059"
"Spain","Domestic currency per US Dollar","1964-M06","60.000000059"
"Spain","Domestic currency per US Dollar","1964-M07","60.000000059"
"Spain","Domestic currency per US Dollar","1964-M08","60.000000059"
"Spain","Domestic currency per US Dollar","1964-M09","60.000000059"
"Spain","Domestic currency per US Dollar","1964-M10","60.000000059"
"Spain","Domestic currency per US Dollar","1964-M11","60.000000059"
"Spain","Domestic currency per US Dollar","1964-M12","60.000000059"
"Spain","Domestic currency per US Dollar","1965-M01","60.000000059"
"Spain","Domestic currency per US Dollar","1965-M02","60.000000059"
"Spain","Domestic currency per US Dollar","1965-M03","60.000000059"
"Spain","Domestic currency per US Dollar","1965-M04","60.000000059"
"Spain","Domestic currency per US Dollar","1965-M05","60.000000059"
"Spain","Domestic currency per US Dollar","1965-M06","60.000000059"
"Spain","Domestic currency per US Dollar","1965-M07","60.000000059"
"Spain","Domestic currency per US Dollar","1965-M08","60.000000059"
"Spain","Domestic currency per US Dollar","1965-M09","60.000000059"
"Spain","Domestic currency per US Dollar","1965-M10","60.000000059"
"Spain","Domestic currency per US Dollar","1965-M11","60.000000059"
"Spain","Domestic currency per US Dollar","1965-M12","60.000000059"
"Spain","Domestic currency per US Dollar","1966-M01","60.000000059"
"Spain","Domestic currency per US Dollar","1966-M02","60.000000059"
"Spain","Domestic currency per US Dollar","1966-M03","60.000000059"
"Spain","Domestic currency per US Dollar","1966-M04","60.000000059"
"Spain","Domestic currency per US Dollar","1966-M05","60.000000059"
"Spain","Domestic currency per US Dollar","1966-M06","60.000000059"
"Spain","Domestic currency per US Dollar","1966-M07","60.000000059"
"Spain","Domestic currency per US Dollar","1966-M08","60.000000059"
"Spain","Domestic currency per US Dollar","1966-M09","60.000000059"
"Spain","Domestic currency per US Dollar","1966-M10","60.000000059"
"Spain","Domestic currency per US Dollar","1966-M11","60.000000059"
"Spain","Domestic currency per US Dollar","1966-M12","60.000000059"
"Spain","Domestic currency per US Dollar","1967-M01","60.000000059"
"Spain","Domestic currency per US Dollar","1967-M02","60.000000059"
"Spain","Domestic currency per US Dollar","1967-M03","60.000000059"
"Spain","Domestic currency per US Dollar","1967-M04","60.000000059"
"Spain","Domestic currency per US Dollar","1967-M05","60.000000059"
"Spain","Domestic currency per US Dollar","1967-M06","60.000000059"
"Spain","Domestic currency per US Dollar","1967-M07","60.000000059"
"Spain","Domestic currency per US Dollar","1967-M08","60.000000059"
"Spain","Domestic currency per US Dollar","1967-M09","60.000000059"
"Spain","Domestic currency per US Dollar","1967-M10","60.000000059"
"Spain","Domestic currency per US Dollar","1967-M11","70.00000007"
"Spain","Domestic currency per US Dollar","1967-M12","70.00000007"
"Spain","Domestic currency per US Dollar","1968-M01","70.00000007"
"Spain","Domestic currency per US Dollar","1968-M02","70.00000007"
"Spain","Domestic currency per US Dollar","1968-M03","70.00000007"
"Spain","Domestic currency per US Dollar","1968-M04","70.00000007"
"Spain","Domestic currency per US Dollar","1968-M05","70.00000007"
"Spain","Domestic currency per US Dollar","1968-M06","70.00000007"
"Spain","Domestic currency per US Dollar","1968-M07","70.00000007"
"Spain","Domestic currency per US Dollar","1968-M08","70.00000007"
"Spain","Domestic currency per US Dollar","1968-M09","70.00000007"
"Spain","Domestic currency per US Dollar","1968-M10","70.00000007"
"Spain","Domestic currency per US Dollar","1968-M11","70.00000007"
