"COUNTRY","INDICATOR","UNIT","TIME_PERIOD","OBS_VALUE","SCALE"
"Spain","Total reserves (gold at national valuation)","US dollar","1959-M12","200","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1960-M01","233","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1960-M02","253","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1960-M03","299","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1960-M04","326","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1960-M05","360","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1960-M06","406","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1960-M07","427","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1960-M08","455","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1960-M09","479","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1960-M10","527","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1960-M11","521","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1960-M12","541","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1961-M01","536","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1961-M02","565","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1961-M03","561.55","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1961-M04","593.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1961-M05","643.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1961-M06","683.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1961-M07","716.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1961-M08","773.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1961-M09","795.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1961-M10","825.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1961-M11","851.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1961-M12","886.52","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1962-M01","912.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1962-M02","935.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1962-M03","958.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1962-M04","977.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1962-M05","988.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1962-M06","1004.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1962-M07","1031.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1962-M08","1026.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1962-M09","1047.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1962-M10","1046.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1962-M11","1046.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1962-M12","1045.5","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1963-M01","1062","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1963-M02","1062","Millions"
"Spain","Total reserves (gold at national valuation)","US dollar","1963-M03","1038","Millions"
